"date","river","obs","mle","mle_rescaled","flow_cfs"
2019-01-01,"abernathy",5.41610040220442,5.41610040220442,225,225
2019-01-02,"abernathy",5.26269018890489,5.26269018890489,193,193
2019-01-03,"abernathy",5.25749537202778,5.25749537202778,192,192
2019-01-04,"abernathy",5.34233425196481,5.34233425196481,209,209
2019-01-05,"abernathy",5.23644196282995,5.23644196282995,188,188
2019-01-06,"abernathy",5.25749537202778,5.25749537202778,192,192
2019-01-07,"abernathy",5.21493575760899,5.21493575760899,184,184
2019-01-08,"abernathy",5.21493575760899,5.21493575760899,184,184
2019-01-09,"abernathy",5.21493575760899,5.21493575760899,184,184
2019-01-10,"abernathy",5.54126354515843,5.54126354515843,255,255
2019-01-11,"abernathy",5.41610040220442,5.41610040220442,225,225
2019-01-12,"abernathy",5.28826703069454,5.28826703069454,198,198
2019-01-13,"abernathy",5.14166355650266,5.14166355650266,171,171
2019-01-14,"abernathy",5.01727983681492,5.01727983681493,151,151
2019-01-15,"abernathy",4.89034912822175,4.89034912822175,133,133
2019-01-16,"abernathy",4.78749174278205,4.78749174278205,120,120
2019-01-17,"abernathy",4.77068462446567,4.77068462446567,118,118
2019-01-18,"abernathy",4.99721227376411,4.99721227376411,148,148
2019-01-19,"abernathy",5.38449506278909,5.38449506278909,218,218
2019-01-20,"abernathy",5.14749447681345,5.14749447681345,172,172
2019-01-21,"abernathy",5.01727983681492,5.01727983681492,151,151
2019-01-22,"abernathy",5.07517381523383,5.07517381523383,160,160
2019-01-23,"abernathy",5.72358510195238,5.72358510195238,306,306
2019-01-24,"abernathy",5.54517744447956,5.54517744447956,256,256
2019-01-25,"abernathy",5.39816270151775,5.39816270151775,221,221
2019-01-26,"abernathy",5.25749537202778,5.25749537202778,192,192
2019-01-27,"abernathy",5.12396397940326,5.12396397940326,168,168
2019-01-28,"abernathy",4.99721227376411,4.99721227376412,148,148
2019-01-29,"abernathy",4.88280192258637,4.88280192258637,132,132
2019-01-30,"abernathy",4.77068462446567,4.77068462446567,118,118
2019-01-31,"abernathy",4.66343909411207,4.66343909411207,106,106
2019-02-01,"abernathy",4.61512051684126,4.61512051684126,101,101
2019-02-02,"abernathy",4.55597994179732,4.55597994179732,95.1999999999999,95.2
2019-02-03,"abernathy",4.46014441393783,4.46014441393783,86.5000000000001,86.5
2019-02-04,"abernathy",4.38701417618492,4.38701417618492,80.3999999999999,80.4
2019-02-05,"abernathy",4.28771595520264,4.28771595520264,72.8,72.8
2019-02-06,"abernathy",4.19569705648239,4.19569705648239,66.4000000000001,66.4
2019-02-07,"abernathy",4.12228393091134,4.12228393091134,61.7,61.7
2019-02-08,"abernathy",4.11251186617755,4.11251186617755,61.1000000000001,61.1
2019-02-09,"abernathy",4.13196142579341,4.13196142579341,62.3,62.3
2019-02-10,"abernathy",4.03600898520914,4.03600898520914,56.5999999999999,56.6
2019-02-11,"abernathy",4.51633897228148,4.51633897228148,91.5,91.5
2019-02-12,"abernathy",5.34710753071747,5.34710753071747,210,210
2019-02-13,"abernathy",5.15905529921453,5.15905529921453,174,174
2019-02-14,"abernathy",5.09375020080676,5.09375020080676,163,163
2019-02-15,"abernathy",5.10594547390058,5.10594547390058,165,165
2019-02-16,"abernathy",5.18178355029209,5.18178355029209,178,178
2019-02-17,"abernathy",5.10594547390058,5.10594547390058,165,165
2019-02-18,"abernathy",4.98360662170834,4.98360662170834,146,146
2019-02-19,"abernathy",4.969813299576,4.969813299576,144,144
2019-02-20,"abernathy",5.06259503302697,5.06259503302697,158,158
2019-02-21,"abernathy",4.94875989037817,4.94875989037817,141,141
2019-02-22,"abernathy",4.89034912822175,4.89034912822175,133,133
2019-02-23,"abernathy",4.8283137373023,4.8283137373023,125,125
2019-02-24,"abernathy",4.82028156560504,4.82028156560504,124,124
2019-02-25,"abernathy",4.76217393479776,4.76217393479776,117,117
2019-02-26,"abernathy",4.67282883446191,4.67282883446191,107,107
2019-02-27,"abernathy",4.61512051684126,4.61512051684126,101,101
2019-02-28,"abernathy",4.54435804659133,4.54435804659133,94.1,94.1
2019-03-01,"abernathy",4.50202942706858,4.50202942706858,90.2000000000001,90.2
2019-03-02,"abernathy",4.47163879336357,4.47163879336357,87.5,87.5
2019-03-03,"abernathy",4.41400968052693,4.41400968052693,82.6,82.6
2019-03-04,"abernathy",4.3425058765116,4.3425058765116,76.9,76.9
2019-03-05,"abernathy",4.30135873160643,4.30135873160643,73.8,73.8
2019-03-06,"abernathy",4.29456060889261,4.29456060889261,73.3,73.3
2019-03-07,"abernathy",4.29864502573483,4.29864502573483,73.6000000000001,73.6
2019-03-08,"abernathy",4.24992279404054,4.24992279404055,70.1000000000001,70.1
2019-03-09,"abernathy",4.18965474202643,4.18965474202643,66,66
2019-03-10,"abernathy",4.14788532915013,4.14788532915013,63.3,63.3
2019-03-11,"abernathy",4.13516655674236,4.13516655674236,62.5,62.5
2019-03-12,"abernathy",4.55807857845424,4.55807857845424,95.4000000000001,95.4
2019-03-13,"abernathy",4.4636066216663,4.4636066216663,86.8,86.8
2019-03-14,"abernathy",4.43556740160191,4.43556740160191,84.4,84.4
2019-03-15,"abernathy",4.46935046284556,4.46935046284556,87.3,87.3
2019-03-16,"abernathy",4.57882621064849,4.57882621064849,97.4,97.4
2019-03-17,"abernathy",4.67282883446191,4.67282883446191,107,107
2019-03-18,"abernathy",4.77068462446567,4.77068462446567,118,118
2019-03-19,"abernathy",4.78749174278205,4.78749174278205,120,120
2019-03-20,"abernathy",4.76217393479776,4.76217393479776,117,117
2019-03-21,"abernathy",4.69134788222914,4.69134788222914,109,109
2019-03-22,"abernathy",4.60517018598809,4.60517018598809,100,100
2019-03-23,"abernathy",4.51415078760092,4.51415078760092,91.2999999999999,91.3
2019-03-24,"abernathy",4.43081679884331,4.43081679884331,84.0000000000001,84
2019-03-25,"abernathy",4.4042772436087,4.4042772436087,81.8,81.8
2019-03-26,"abernathy",4.38202663467388,4.38202663467388,80,80
2019-03-27,"abernathy",4.31882055877009,4.31882055877009,75.1000000000001,75.1
2019-03-28,"abernathy",4.254193263164,4.254193263164,70.4,70.4
2019-03-29,"abernathy",4.16511363311031,4.16511363311031,64.4000000000001,64.4
2019-03-30,"abernathy",4.09767235231478,4.09767235231478,60.2,60.2
2019-03-31,"abernathy",4.02891675689965,4.02891675689965,56.2,56.2
2019-04-01,"abernathy",4.01277290852829,4.01277290852829,55.3,55.3
2019-04-02,"abernathy",3.97968165390196,3.97968165390196,53.5,53.5
2019-04-03,"abernathy",3.93378449720966,3.93378449720966,51.1,51.1
2019-04-04,"abernathy",3.87949981372259,3.87949981372259,48.4,48.4
2019-04-05,"abernathy",4.02356438016105,4.02356438016105,55.9,55.9
2019-04-06,"abernathy",4.10098910494077,4.10098910494077,60.3999999999999,60.4
2019-04-07,"abernathy",4.4320065669789,4.4320065669789,84.1000000000001,84.1
2019-04-08,"abernathy",4.3907385752759,4.3907385752759,80.7,80.7
2019-04-09,"abernathy",4.42124734782716,4.42124734782716,83.2,83.2
2019-04-10,"abernathy",4.51305489708029,4.51305489708029,91.2,91.2
2019-04-11,"abernathy",5.03695260241363,5.03695260241363,154,154
2019-04-12,"abernathy",5.08759633523238,5.08759633523238,162,162
2019-04-13,"abernathy",5.03695260241363,5.03695260241363,154,154
2019-04-14,"abernathy",5.01063529409626,5.01063529409626,150,150
2019-04-15,"abernathy",4.969813299576,4.969813299576,144,144
2019-04-16,"abernathy",4.85203026391962,4.85203026391962,128,128
2019-04-17,"abernathy",4.77068462446567,4.77068462446567,118,118
